X,Y,Name,description,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D,Field_16,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_8,Field_9,Field_6,Field_7,Field_4,Field_5,Field_2,Field_3,Field_1
103.839395071325,1.37530562129984,kml_11,,9400160,C Y KOK CLINIC & SURGERY,MD,64584777,560157,A,157,01,562,ANG MO KIO AVE 4,,"CDMP,CHAS,ISP",28676.23854943,39699.8244776,4D23AA3BC0988297,20190213130534,20190213130534,ANG MO KIO AVE 4,,"CDMP,CHAS,ISP",28676.23854943,39699.8244776,4D23AA3BC0988297,01,562,A,157,64584777,560157,C Y KOK CLINIC & SURGERY,MD,9400160
103.786854059334,1.33622384171884,kml_12,,9402229,C.M.C. WONG BINJAI CLINIC,MD,64693737,589824,B,15,,,BINJAI PARK,,"CHAS,ISP",22828.98988039,35378.40880973,CADED6343968E8A9,20190213130534,20190213130534,BINJAI PARK,,"CHAS,ISP",22828.98988039,35378.40880973,CADED6343968E8A9,,,B,15,64693737,589824,C.M.C. WONG BINJAI CLINIC,MD,9402229
103.886195689055,1.32170328990751,kml_13,,17M0186,C3 Family Clinic @Aljunied Crescent,MC,67422285,380095,A,95,01,509,ALJUNIED CRESCENT,MACPHERSON VIEW,"CDMP,CHAS",33884.69822084,33772.8143443,AA16708B9FEB2861,20190213130534,20190213130534,ALJUNIED CRESCENT,MACPHERSON VIEW,"CDMP,CHAS",33884.69822084,33772.8143443,AA16708B9FEB2861,01,509,A,95,67422285,380095,C3 Family Clinic @Aljunied Crescent,MC,17M0186
103.886367847372,1.37331270083797,kml_14,,9402580,CARE MEDICAL CLINIC,MD,63872272,530683,A,683,01,931,HOUGANG AVE 8,,"CDMP,CHAS,ISP",33903.73348339,39479.52207571,B46A7834ADE6866A,20190213130534,20190213130534,HOUGANG AVE 8,,"CDMP,CHAS,ISP",33903.73348339,39479.52207571,B46A7834ADE6866A,01,931,A,683,63872272,530683,CARE MEDICAL CLINIC,MD,9402580
103.844255308291,1.41600481783693,kml_15,,17M0203,CARE4LIFE MEDICAL CLINIC (YISHUN),MC,69092259,760513,A,513,01,03,YISHUN STREET 51,SARACA BREEZE @ YISHUN,CHAS,29217.10193281,44200.13745903,2104EB280441DC47,20190213130534,20190213130534,YISHUN STREET 51,SARACA BREEZE @ YISHUN,CHAS,29217.10193281,44200.13745903,2104EB280441DC47,01,03,A,513,69092259,760513,CARE4LIFE MEDICAL CLINIC (YISHUN),MC,17M0203
103.901228610039,1.32955256814021,kml_16,,9400172,CARITAS CLINIC,MD,67489284,400304,A,304,01,127,UBI AVE 1,,"CDMP,CHAS,ISP",35557.69016346,34640.78854953,9D4ADF8184D843FD,20190213130534,20190213130534,UBI AVE 1,,"CDMP,CHAS,ISP",35557.69016346,34640.78854953,9D4ADF8184D843FD,01,127,A,304,67489284,400304,CARITAS CLINIC,MD,9400172
103.77076830515,1.38358044593591,kml_17,,9402663,CASHEW MEDICAL & SURGERY,MD,67634255,670445,A,445,02,522,FAJAR RD,FAJAR SHOPPING CENTRE,"CDMP,CHAS,ISP",21038.95049455,40614.90347463,2B4E2DF9D00BD317,20190213130534,20190213130534,FAJAR RD,FAJAR SHOPPING CENTRE,"CDMP,CHAS,ISP",21038.95049455,40614.90347463,2B4E2DF9D00BD317,02,522,A,445,67634255,670445,CASHEW MEDICAL & SURGERY,MD,9402663
103.884471780069,1.30964078460585,kml_18,,9402306,CASSIA CLINIC & SURGERY,MD,63464260,390034,A,34,01,76,CASSIA CRESCENT,,"CDMP,CHAS,ISP",33692.87148402,32438.99985791,7842F1161F3EA875,20190213130534,20190213130534,CASSIA CRESCENT,,"CDMP,CHAS,ISP",33692.87148402,32438.99985791,7842F1161F3EA875,01,76,A,34,63464260,390034,CASSIA CLINIC & SURGERY,MD,9402306
103.743145847094,1.38449608058333,kml_19,,13C0034,CCK FAMILY CLINIC,MD,68910338,680304,A,304,01,653,CHOA CHU KANG AVE 4,,"CDMP,CHAS",17964.92411006,40716.24879593,A89A1697DB8F5222,20190213130534,20190213130534,CHOA CHU KANG AVE 4,,"CDMP,CHAS",17964.92411006,40716.24879593,A89A1697DB8F5222,01,653,A,304,68910338,680304,CCK FAMILY CLINIC,MD,13C0034
103.952639447158,1.36189785903603,kml_20,,11C0170,CECILIA FAMILY CLINIC & SURGERY,MD,67883812,520484,A,484,01,224,TAMPINES ST 43,,"CDMP,CHAS",41279.02090263,38217.59005527,08D480F9035D11B4,20190213130534,20190213130534,TAMPINES ST 43,,"CDMP,CHAS",41279.02090263,38217.59005527,08D480F9035D11B4,01,224,A,484,67883812,520484,CECILIA FAMILY CLINIC & SURGERY,MD,11C0170
103.932948087726,1.32496457671995,kml_21,,9405009,CENTRAL 24-HR CLINIC (BEDOK),MD,62476122,460219,A,219,01,124,BEDOK CENTRAL,MULTI STOREY CAR PARK,"CDMP,CHAS,ISP",39087.76628658,34133.5908521,33F8CCC41BB9ACCF,20190213130534,20190213130534,BEDOK CENTRAL,MULTI STOREY CAR PARK,"CDMP,CHAS,ISP",39087.76628658,34133.5908521,33F8CCC41BB9ACCF,01,124,A,219,62476122,460219,CENTRAL 24-HR CLINIC (BEDOK),MD,9405009
103.765476305113,1.31353886094619,kml_22,,9405347,CENTRAL 24-HR CLINIC (CLEMENTI),MD,67732925,120450,A,450,01,291,Clementi Ave 3,,"CHAS,ISP",20449.80211014,32870.07363682,1CA6551597BD85C5,20190213130534,20190213130534,Clementi Ave 3,,"CHAS,ISP",20449.80211014,32870.07363682,1CA6551597BD85C5,01,291,A,450,67732925,120450,CENTRAL 24-HR CLINIC (CLEMENTI),MD,9405347
103.885679159796,1.37297840263115,kml_23,,9403687,CENTRAL 24-HR CLINIC (HOUGANG),MD,63876965,530681,A,681,01,831,HOUGANG AVE 8,,"CDMP,CHAS,ISP",33827.09177047,39442.55542398,A24AA09EB9B642A2,20190213130534,20190213130534,HOUGANG AVE 8,,"CDMP,CHAS,ISP",33827.09177047,39442.55542398,A24AA09EB9B642A2,01,831,A,681,63876965,530681,CENTRAL 24-HR CLINIC (HOUGANG),MD,9403687
103.957726864829,1.37030619330386,kml_24,,9405250,CENTRAL 24-HR CLINIC (PASIR RIS),MD,65822640,510446,A,446,01,122,PASIR RIS DRIVE 6,,"CDMP,CHAS,ISP",41845.14385673,39147.37166485,B50BD387FC3C1943,20190213130534,20190213130534,PASIR RIS DRIVE 6,,"CDMP,CHAS,ISP",41845.14385673,39147.37166485,B50BD387FC3C1943,01,122,A,446,65822640,510446,CENTRAL 24-HR CLINIC (PASIR RIS),MD,9405250
103.798140993881,1.44562290748789,kml_25,,9405378,CENTRAL 24-HR CLINIC (WOODLANDS),MD,63654895,730768,A,768,02,06A,WOODLANDS AVENUE 6,WOODLANDS MART,"CDMP,CHAS,ISP",24085.28700111,47475.18426852,BDFADA14EF2CC9FD,20190213130534,20190213130534,WOODLANDS AVENUE 6,WOODLANDS MART,"CDMP,CHAS,ISP",24085.28700111,47475.18426852,BDFADA14EF2CC9FD,02,06A,A,768,63654895,730768,CENTRAL 24-HR CLINIC (WOODLANDS),MD,9405378
103.827943218947,1.4298784547931,kml_26,,9402719,CENTRAL 24-HR CLINIC (YISHUN),MD,67597985,761701,A,701A,01,04,YISHUN AVE 5,,"CDMP,CHAS,ISP",27401.80276437,45734.21215974,15CCA2EF239729C6,20190213130534,20190213130534,YISHUN AVE 5,,"CDMP,CHAS,ISP",27401.80276437,45734.21215974,15CCA2EF239729C6,01,04,A,701A,67597985,761701,CENTRAL 24-HR CLINIC (YISHUN),MD,9402719
103.847991955582,1.335787912335,kml_27,,17M0185,AICARE FAMILY CLINIC,MC,62667820,310083,A,83,01,457,LORONG 2 TOA PAYOH,TOA PAYOH PEAKVIEW,CHAS,29632.99192903,35330.16188582,55DA285435EA936A,20190213130534,20190213130534,LORONG 2 TOA PAYOH,TOA PAYOH PEAKVIEW,CHAS,29632.99192903,35330.16188582,55DA285435EA936A,01,457,A,83,62667820,310083,AICARE FAMILY CLINIC,MC,17M0185
103.810958960395,1.29270339832466,kml_28,,9403468,ALEXANDRA FAMILY CLINIC & SURGERY,MD,64797022,142057,A,57,02,02,DAWSON ROAD,,"CDMP,CHAS",25511.56778659,30566.10389459,6C875EBD98D453D2,20190213130534,20190213130534,DAWSON ROAD,,"CDMP,CHAS",25511.56778659,30566.10389459,6C875EBD98D453D2,02,02,A,57,64797022,142057,ALEXANDRA FAMILY CLINIC & SURGERY,MD,9403468
103.907742997146,1.33269651937702,kml_29,,9404623,ALLIANCE CLINIC AND PARTNERS PTE LTD,MD,68469585,410652,A,652,01,50,JALAN TENAGA,,"CDMP,CHAS,ISP",36282.66464167,34988.45169552,3F5EC8D63D4C0A06,20190213130534,20190213130534,JALAN TENAGA,,"CDMP,CHAS,ISP",36282.66464167,34988.45169552,3F5EC8D63D4C0A06,01,50,A,652,68469585,410652,ALLIANCE CLINIC AND PARTNERS PTE LTD,MD,9404623
103.830642027915,1.30467628686208,kml_30,,16M0095,AMDA International Peace Clinic,MC,66941661,238880,B,501,05,01,ORCHARD ROAD,WHEELOCK PLACE,"CDMP,CHAS",27702.1243624,31889.99344859,929EE160F51B5551,20190213130534,20190213130534,ORCHARD ROAD,WHEELOCK PLACE,"CDMP,CHAS",27702.1243624,31889.99344859,929EE160F51B5551,05,01,B,501,66941661,238880,AMDA International Peace Clinic,MC,16M0095
103.75069463099,1.35925940880518,kml_31,,9400036,AMITY MEDICAL CLINIC & DENTAL SURGERY,MD,65609292,650371,A,371,01,314,BT BATOK ST 31,,"CDMP,CHAS",18804.9118111,37925.672484,41CB84DFB57FE55D,20190213130534,20190213130534,BT BATOK ST 31,,"CDMP,CHAS",18804.9118111,37925.672484,41CB84DFB57FE55D,01,314,A,371,65609292,650371,AMITY MEDICAL CLINIC & DENTAL SURGERY,MD,9400036
103.847159679938,1.36929744580983,kml_32,,9403568,AMK FAMILY CLINIC PTE LTD,MD,64544204,569922,B,51,01,01,ANG MO KIO AVE 3,NO 51 @ AMK,"CDMP,CHAS,ISP",29540.34726072,39035.47456121,7FC6807699CEFDA1,20190213130534,20190213130534,ANG MO KIO AVE 3,NO 51 @ AMK,"CDMP,CHAS,ISP",29540.34726072,39035.47456121,7FC6807699CEFDA1,01,01,B,51,64544204,569922,AMK FAMILY CLINIC PTE LTD,MD,9403568
103.845703844549,1.33864901778038,kml_33,,9400011,AMPM FAMILY CLINIC & SURGERY PTE. LTD.,MD,62530917,310123,A,123,01,521,TOA PAYOH LOR 1,,"CDMP,CHAS,ISP",29378.34774523,35646.52690755,C8E676B6BEE3F4C2,20190213130534,20190213130534,TOA PAYOH LOR 1,,"CDMP,CHAS,ISP",29378.34774523,35646.52690755,C8E676B6BEE3F4C2,01,521,A,123,62530917,310123,AMPM FAMILY CLINIC & SURGERY PTE. LTD.,MD,9400011
103.839395071325,1.37530562129984,kml_34,,9400046,ANG MO KIO MEDICAL CENTRE,MD,64570273,560157,A,157,01,558,ANG MO KIO AVE 4,,"CDMP,CHAS,ISP",28676.23854943,39699.8244776,4D23AA3B24529632,20190213130534,20190213130534,ANG MO KIO AVE 4,,"CDMP,CHAS,ISP",28676.23854943,39699.8244776,4D23AA3B24529632,01,558,A,157,64570273,560157,ANG MO KIO MEDICAL CENTRE,MD,9400046
103.835446503405,1.41562517359593,kml_35,,9400054,APEX CLINIC & SURGERY,MD,67535621,760844,A,844,01,162,YISHUN ST 81,,"CDMP,CHAS,ISP",28236.80771967,44158.155584,DBAA8CFF34ABBD14,20190213130534,20190213130534,YISHUN ST 81,,"CDMP,CHAS,ISP",28236.80771967,44158.155584,DBAA8CFF34ABBD14,01,162,A,844,67535621,760844,APEX CLINIC & SURGERY,MD,9400054
103.774636554647,1.42992991950792,kml_36,,9400053,APEX CLINIC & SURGERY,MD,63677710,730306,A,306,01,39,WOODLANDS ST 31,,"CDMP,CHAS,ISP",21469.56650047,45739.98574737,9A80960FC3CE58F4,20190213130534,20190213130534,WOODLANDS ST 31,,"CDMP,CHAS,ISP",21469.56650047,45739.98574737,9A80960FC3CE58F4,01,39,A,306,63677710,730306,APEX CLINIC & SURGERY,MD,9400053
103.691459639169,1.34138531152671,kml_37,,9400055,APEX MEDICAL CENTRE (JURONG) PTE LTD,MD,67912292,640960,A,960,01,172,JURONG WEST ST 92,,"CDMP,CHAS,ISP",12212.6174493,35949.54641203,BFDEE0FA276F82EF,20190213130534,20190213130534,JURONG WEST ST 92,,"CDMP,CHAS,ISP",12212.6174493,35949.54641203,BFDEE0FA276F82EF,01,172,A,960,67912292,640960,APEX MEDICAL CENTRE (JURONG) PTE LTD,MD,9400055
103.751213742333,1.35866916669751,kml_38,,9405288,AR-Raudhah Medical Clinic and Surgery Pte Ltd,MD,65677458,650372,A,372,01,386,BUKIT BATOK STREET 31,,"CDMP,CHAS",18862.68067946,37860.40454106,130D3F50E7A4D489,20190213130534,20190213130534,BUKIT BATOK STREET 31,,"CDMP,CHAS",18862.68067946,37860.40454106,130D3F50E7A4D489,01,386,A,372,65677458,650372,AR-Raudhah Medical Clinic and Surgery Pte Ltd,MD,9405288
103.778972458718,1.32044171174532,kml_39,,9401662,ARCADIA CLINIC,MD,64695122,597626,B,2,01,211,PANDAN VALLEY,,"CDMP,CHAS,ISP",21951.81239204,33633.31901418,8EBAE52474B9E7CF,20190213130534,20190213130534,PANDAN VALLEY,,"CDMP,CHAS,ISP",21951.81239204,33633.31901418,8EBAE52474B9E7CF,01,211,B,2,64695122,597626,ARCADIA CLINIC,MD,9401662
103.844748631654,1.35891907140489,kml_40,,9404831,ASPEN CLINIC,MD,64553829,570283,A,283,01,185,BISHAN STREET 22,,"CDMP,CHAS,ISP",29272.03220912,37887.8853883,C59A5D1A5919DEF3,20190213130534,20190213130534,BISHAN STREET 22,,"CDMP,CHAS,ISP",29272.03220912,37887.8853883,C59A5D1A5919DEF3,01,185,A,283,64553829,570283,ASPEN CLINIC,MD,9404831
103.849538318462,1.33889442806175,kml_41,,9403516,ASSOCIATE DISPENSARIES,MD,62562308,310094,A,94,01,20,TOA PAYOH LOR 4,,"CDMP,CHAS,ISP",29805.08345618,35673.66557523,07197CBFC64ED234,20190213130534,20190213130534,TOA PAYOH LOR 4,,"CDMP,CHAS,ISP",29805.08345618,35673.66557523,07197CBFC64ED234,01,20,A,94,62562308,310094,ASSOCIATE DISPENSARIES,MD,9403516
103.896728455854,1.30288822395105,kml_42,,16M0340,ASSURANCE MEDICARE CLINIC AND SURGERY,MC,63457810,437127,B,370,,,TANJONG KATONG ROAD,,"CDMP,CHAS",35056.94390516,31692.36724502,CB7C583F465647CD,20190213130534,20190213130534,TANJONG KATONG ROAD,,"CDMP,CHAS",35056.94390516,31692.36724502,CB7C583F465647CD,,,B,370,63457810,437127,ASSURANCE MEDICARE CLINIC AND SURGERY,MC,16M0340
103.827620903348,1.29446098576164,kml_43,,17M0018,ATLAS PACIFIC MEDICAL,MC,63869098,248327,B,428,01,10,RIVER VALLEY ROAD,LOFT @ NATHAN,CHAS,27365.89842807,30760.43860628,E4846B4D8EB43E75,20190213130534,20190213130534,RIVER VALLEY ROAD,LOFT @ NATHAN,CHAS,27365.89842807,30760.43860628,E4846B4D8EB43E75,01,10,B,428,63869098,248327,ATLAS PACIFIC MEDICAL,MC,17M0018
103.854594160953,1.37380851529933,kml_44,,13M0361,ATRIO FAMILY CLINIC (AMK) PTE. LTD.,MC,64554282,560532,A,532,01,2461,ANG MO KIO AVENUE 10,CHENG SAN CENTRE,"CDMP,CHAS",30367.71076085,39534.29181064,E67026E25650FE0F,20190213130534,20190213130534,ANG MO KIO AVENUE 10,CHENG SAN CENTRE,"CDMP,CHAS",30367.71076085,39534.29181064,E67026E25650FE0F,01,2461,A,532,64554282,560532,ATRIO FAMILY CLINIC (AMK) PTE. LTD.,MC,13M0361
103.803023755955,1.28220135432784,kml_45,,15M0364,Acacia Medical Clinic,MC,97889194,109684,B,180,01,07,DEPOT ROAD,"INTERLACE, THE","CDMP,CHAS",24628.43428547,29404.85105767,9EEBE573BBC5C669,20190213130534,20190213130534,DEPOT ROAD,"INTERLACE, THE","CDMP,CHAS",24628.43428547,29404.85105767,9EEBE573BBC5C669,01,07,B,180,97889194,109684,Acacia Medical Clinic,MC,15M0364
103.742831711196,1.34771697452787,kml_46,,17M0187,Access Medical (Bukit Batok),MC,68732458,650164,A,164,01,152,BUKIT BATOK STREET 11,,"CDMP,CHAS",17929.8115842,36649.39882698,8EFBF370FFE37DE4,20190213130534,20190213130534,BUKIT BATOK STREET 11,,"CDMP,CHAS",17929.8115842,36649.39882698,8EFBF370FFE37DE4,01,152,A,164,68732458,650164,Access Medical (Bukit Batok),MC,17M0187
103.885851746557,1.3235406597448,kml_47,,15M0003,Access Medical (Circuit Road),MC,65478840,370088,A,88,01,965,CIRCUIT ROAD,,"CDMP,CHAS,ISP",33846.41651602,33975.98052721,5F2517A0D9E32154,20190213130534,20190213130534,CIRCUIT ROAD,,"CDMP,CHAS,ISP",33846.41651602,33975.98052721,5F2517A0D9E32154,01,965,A,88,65478840,370088,Access Medical (Circuit Road),MC,15M0003
103.934734222327,1.3206250489608,kml_48,,15M0345,Access Medical (East Coast),MC,62418812,460018,A,18,01,69,BEDOK SOUTH ROAD,,"CDMP,CHAS,ISP",39286.56501131,33653.75547249,445E9618960EA814,20190213130534,20190213130534,BEDOK SOUTH ROAD,,"CDMP,CHAS,ISP",39286.56501131,33653.75547249,445E9618960EA814,01,69,A,18,62418812,460018,Access Medical (East Coast),MC,15M0345
103.723241115985,1.35057698682517,kml_49,,17M0170,Access Medical (Jurong West),MC,68732420,640463,A,463,01,564,JURONG WEST STREET 41,,CHAS,15749.60668909,36965.7347309,9CED9E08D3084DCF,20190213130534,20190213130534,JURONG WEST STREET 41,,CHAS,15749.60668909,36965.7347309,9CED9E08D3084DCF,01,564,A,463,68732420,640463,Access Medical (Jurong West),MC,17M0170
103.818673591845,1.2869200625471,kml_50,,17M0231,Access Medical (Redhill Close),MC,68733165,150086,A,86,01,600,REDHILL CLOSE,,CHAS,26370.13594346,29926.60617213,50C48A417B14E451,20190213130534,20190213130534,REDHILL CLOSE,,CHAS,26370.13594346,29926.60617213,50C48A417B14E451,01,600,A,86,68733165,150086,Access Medical (Redhill Close),MC,17M0231
103.855735558254,1.32328917056723,kml_51,,15M0338,Access Medical (Whampoa),MC,62521070,320087,A,87,01,869,WHAMPOA DRIVE,,"CDMP,CHAS,ISP",30494.78565412,33948.12151178,A6688FFAC90A74FE,20190213130534,20190213130534,WHAMPOA DRIVE,,"CDMP,CHAS,ISP",30494.78565412,33948.12151178,A6688FFAC90A74FE,01,869,A,87,62521070,320087,Access Medical (Whampoa),MC,15M0338
103.903826117299,1.32770471663768,kml_52,,11C0201,Accord Medical Clinic,MD,68441528,400325,A,325,01,701,UBI AVENUE 1,,"CDMP,CHAS,ISP",35846.77213922,34436.4705185,6D0A426511931A8E,20190213130534,20190213130534,UBI AVENUE 1,,"CDMP,CHAS,ISP",35846.77213922,34436.4705185,6D0A426511931A8E,01,701,A,325,68441528,400325,Accord Medical Clinic,MD,11C0201
103.705832386483,1.33856267321526,kml_53,,9405241,AcuMed Medical Group,MD,65159919,649846,B,301,01,18/19,BOON LAY WAY,BOON LAY MRT STATION,"CDMP,CHAS,ISP",13812.13700932,35637.34469094,C1A61BBB0FA39123,20190213130534,20190213130534,BOON LAY WAY,BOON LAY MRT STATION,"CDMP,CHAS,ISP",13812.13700932,35637.34469094,C1A61BBB0FA39123,01,18/19,B,301,65159919,649846,AcuMed Medical Group,MD,9405241
103.932493034946,1.32587565153874,kml_54,,9405242,AcuMed Medical Group,MD,64438077,460214,A,214,01,165,Bedok North Street 1,,"CDMP,CHAS,ISP",39037.11941425,34234.33096507,017770698EF01D42,20190213130534,20190213130534,Bedok North Street 1,,"CDMP,CHAS,ISP",39037.11941425,34234.33096507,017770698EF01D42,01,165,A,214,64438077,460214,AcuMed Medical Group,MD,9405242
103.892787161386,1.38977026270373,kml_55,,17M0142,AcuMed Medical Group,MC,63850113,543215,A,215C,01,02,COMPASSVALE DRIVE,,CHAS,34618.07917751,41299.33350436,65688DAE8690A263,20190213130534,20190213130534,COMPASSVALE DRIVE,,CHAS,34618.07917751,41299.33350436,65688DAE8690A263,01,02,A,215C,63850113,543215,AcuMed Medical Group,MC,17M0142
103.678410551478,1.32561764091444,kml_56,,15M0211,Acumed Medical Group,MC,68615755,629117,B,1,01,23,JOO KOON CIRCLE,FAIRPRICE HUB,"CDMP,CHAS",10760.28043977,34206.11984219,C46E2E0D9351D9B1,20190213130534,20190213130534,JOO KOON CIRCLE,FAIRPRICE HUB,"CDMP,CHAS",10760.28043977,34206.11984219,C46E2E0D9351D9B1,01,23,B,1,68615755,629117,Acumed Medical Group,MC,15M0211
103.626524577792,1.28909462597839,kml_57,,16M0004,Acumed Medical Group,MC,65701390,637370,B,128,01,03,TUAS SOUTH AVENUE 3,JTC BIOMED ONE @ TUAS BIOMEDICAL PARK,"CDMP,CHAS",4985.53397365,30167.98804538,4132D1A643933D75,20190213130534,20190213130534,TUAS SOUTH AVENUE 3,JTC BIOMED ONE @ TUAS BIOMEDICAL PARK,"CDMP,CHAS",4985.53397365,30167.98804538,4132D1A643933D75,01,03,B,128,65701390,637370,Acumed Medical Group,MC,16M0004
103.870698031974,1.31270774661588,kml_58,,17M0313,Advent Medical Clinic,MC,69044688,380008,A,8,01,02,UPPER BOON KENG ROAD,MULTI STOREY CAR PARK,CHAS,32159.97723466,32778.10182578,1B3904ED4BD11FE7,20190213130534,20190213130534,UPPER BOON KENG ROAD,MULTI STOREY CAR PARK,CHAS,32159.97723466,32778.10182578,1B3904ED4BD11FE7,01,02,A,8,69044688,380008,Advent Medical Clinic,MC,17M0313
